"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","A","2000",3.376857,
"USA","CPI","TOT","AGRWTH","A","2001",2.826171,
"USA","CPI","TOT","AGRWTH","A","2002",1.586032,
"USA","CPI","TOT","AGRWTH","A","2003",2.270095,
"USA","CPI","TOT","AGRWTH","A","2004",2.677237,
"USA","CPI","TOT","AGRWTH","A","2005",3.392747,
"USA","CPI","TOT","AGRWTH","A","2006",3.225944,
"USA","CPI","TOT","AGRWTH","A","2007",2.852673,
"USA","CPI","TOT","AGRWTH","A","2008",3.8391,
"USA","CPI","TOT","AGRWTH","A","2009",-0.3555463,
"USA","CPI","TOT","AGRWTH","A","2010",1.640043,
"USA","CPI","TOT","AGRWTH","A","2011",3.156842,
"USA","CPI","TOT","AGRWTH","A","2012",2.069337,
"USA","CPI","TOT","AGRWTH","A","2013",1.464833,
"USA","CPI","TOT","AGRWTH","A","2014",1.622223,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"USA","CPI","TOT","AGRWTH","A","2016",1.261583,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"RUS","CPI","TOT","AGRWTH","A","2000",20.79877,
"RUS","CPI","TOT","AGRWTH","A","2001",21.47701,
"RUS","CPI","TOT","AGRWTH","A","2002",15.78873,
"RUS","CPI","TOT","AGRWTH","A","2003",13.66329,
"RUS","CPI","TOT","AGRWTH","A","2004",10.88861,
"RUS","CPI","TOT","AGRWTH","A","2005",12.68531,
"RUS","CPI","TOT","AGRWTH","A","2006",9.668655,
"RUS","CPI","TOT","AGRWTH","A","2007",9.007296,
"RUS","CPI","TOT","AGRWTH","A","2008",14.11077,
"RUS","CPI","TOT","AGRWTH","A","2009",11.64733,
"RUS","CPI","TOT","AGRWTH","A","2010",6.849392,
"RUS","CPI","TOT","AGRWTH","A","2011",8.440471,
"RUS","CPI","TOT","AGRWTH","A","2012",5.074733,
"RUS","CPI","TOT","AGRWTH","A","2013",6.753717,
"RUS","CPI","TOT","AGRWTH","A","2014",7.823416,
"RUS","CPI","TOT","AGRWTH","A","2015",15.5344,
"RUS","CPI","TOT","AGRWTH","A","2016",7.042436,
"RUS","CPI","TOT","AGRWTH","A","2017",3.683334,
"RUS","CPI","TOT","AGRWTH","A","2018",2.878305,
"RUS","CPI","TOT","AGRWTH","A","2019",4.470367,
"OECD","CPI","TOT","AGRWTH","A","2000",4.05238,
"OECD","CPI","TOT","AGRWTH","A","2001",3.659878,
"OECD","CPI","TOT","AGRWTH","A","2002",2.773211,
"OECD","CPI","TOT","AGRWTH","A","2003",2.474649,
"OECD","CPI","TOT","AGRWTH","A","2004",2.399563,
"OECD","CPI","TOT","AGRWTH","A","2005",2.630399,
"OECD","CPI","TOT","AGRWTH","A","2006",2.660563,
"OECD","CPI","TOT","AGRWTH","A","2007",2.541903,
"OECD","CPI","TOT","AGRWTH","A","2008",3.725176,
"OECD","CPI","TOT","AGRWTH","A","2009",0.5436309,
"OECD","CPI","TOT","AGRWTH","A","2010",1.799091,
"OECD","CPI","TOT","AGRWTH","A","2011",2.844546,
"OECD","CPI","TOT","AGRWTH","A","2012",2.238978,
"OECD","CPI","TOT","AGRWTH","A","2013",1.599605,
"OECD","CPI","TOT","AGRWTH","A","2014",1.737607,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6858869,
"OECD","CPI","TOT","AGRWTH","A","2016",1.202287,
"OECD","CPI","TOT","AGRWTH","A","2017",2.280222,
"OECD","CPI","TOT","AGRWTH","A","2018",2.602632,
"OECD","CPI","TOT","AGRWTH","A","2019",2.066284,
